iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
489,Quai_St_Bernard,2023-12-07T09:00:00+00:00,,,Inconnu,291,Cuvier-Quai_St_Bernard,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3601942730275587,48.84741308919516,Feature,"[[2.360992671112877, 48.84687548224427], [2.3593958749422406, 48.84795069614604]]",LineString
489,Quai_St_Bernard,2023-12-07T08:00:00+00:00,,,Inconnu,291,Cuvier-Quai_St_Bernard,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3601942730275587,48.84741308919516,Feature,"[[2.360992671112877, 48.84687548224427], [2.3593958749422406, 48.84795069614604]]",LineString
489,Quai_St_Bernard,2023-12-07T05:00:00+00:00,,,Inconnu,291,Cuvier-Quai_St_Bernard,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3601942730275587,48.84741308919516,Feature,"[[2.360992671112877, 48.84687548224427], [2.3593958749422406, 48.84795069614604]]",LineString
489,Quai_St_Bernard,2023-12-07T03:00:00+00:00,,,Inconnu,291,Cuvier-Quai_St_Bernard,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3601942730275587,48.84741308919516,Feature,"[[2.360992671112877, 48.84687548224427], [2.3593958749422406, 48.84795069614604]]",LineString
488,Quai_St_Bernard,2023-12-07T05:00:00+00:00,40.0,0.72222,Fluide,249,Pt_Sully_Gauche,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3579127763019376,48.84873973467055,Feature,"[[2.3564481808338473, 48.849359935218914], [2.356977675134927, 48.849271488437665], [2.357378222882555, 48.84915452070239], [2.359278683509831, 48.847881888306404]]",LineString
488,Quai_St_Bernard,2023-12-07T03:00:00+00:00,13.0,0.18945,Fluide,249,Pt_Sully_Gauche,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3579127763019376,48.84873973467055,Feature,"[[2.3564481808338473, 48.849359935218914], [2.356977675134927, 48.849271488437665], [2.357378222882555, 48.84915452070239], [2.359278683509831, 48.847881888306404]]",LineString
488,Quai_St_Bernard,2023-12-07T02:00:00+00:00,32.0,0.48556,Fluide,249,Pt_Sully_Gauche,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3579127763019376,48.84873973467055,Feature,"[[2.3564481808338473, 48.849359935218914], [2.356977675134927, 48.849271488437665], [2.357378222882555, 48.84915452070239], [2.359278683509831, 48.847881888306404]]",LineString
488,Quai_St_Bernard,2023-12-07T01:00:00+00:00,52.0,0.845,Fluide,249,Pt_Sully_Gauche,3196,Quai_St_Bernard-Fac_Jussieu,Invalide,1996-10-03,2023-01-01,2.3579127763019376,48.84873973467055,Feature,"[[2.3564481808338473, 48.849359935218914], [2.356977675134927, 48.849271488437665], [2.357378222882555, 48.84915452070239], [2.359278683509831, 48.847881888306404]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T09:00:00+00:00,425.0,58.31056,Bloqué,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T07:00:00+00:00,602.0,40.92834,Saturé,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T05:00:00+00:00,207.0,2.07555,Fluide,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T04:00:00+00:00,70.0,1.11278,Fluide,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T03:00:00+00:00,87.0,1.03722,Fluide,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T02:00:00+00:00,114.0,1.63778,Fluide,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
6168,Quai_de_la_Rapee_W,2023-12-07T01:00:00+00:00,141.0,2.445,Fluide,287,Rapee-De_Gaulle-Van_Gogh,3197,Quai_Rapee-Face_,Invalide,1998-09-28,2023-01-01,2.3704146516948166,48.84369037455346,Feature,"[[2.3707402359235505, 48.843454076908884], [2.370089067466083, 48.84392667219804]]",LineString
668,Bd_Arago,2023-12-07T08:00:00+00:00,,,Inconnu,375,Bd_Arago-Rue_du_Fbg_St_Jacques,3198,Bd_Arago-Observatoire,Invalide,1996-10-03,2023-01-01,2.336484257671929,48.834674853424374,Feature,"[[2.337006189395285, 48.83470177545293], [2.3359623259485733, 48.83464793139582]]",LineString
