Debit horaire;Heure;Etat trafic;Taux d'occupation
0.0;22;Inconnu;0.0
3371.0;22;Fluide;12.45
2.0;22;Fluide;0.1
3260.0;22;Fluide;10.05
33.0;22;Fluide;0.2
546.0;22;Fluide;2.6
3321.0;22;Fluide;6.65
0.0;22;Fluide;0.1
1721.0;22;Fluide;4.8
3064.0;22;Fluide;8.55
4782.0;22;Pré-saturé;15.45
4582.0;22;Pré-saturé;15.3
0.0;22;Fluide;8.65
513.0;22;Fluide;2.75
3028.0;22;Fluide;6.1
0.0;22;Pré-saturé;23.4
2969.0;22;Fluide;7.85
4040.0;22;Fluide;7.3
1598.0;22;Fluide;3.95
5583.0;22;Pré-saturé;17.25
144.0;22;Fluide;1.21056
106.0;22;Fluide;1.08167
86.0;22;Fluide;0.45056
0.0;22;Fluide;0.38278
86.0;22;Fluide;0.65889
323.0;22;Fluide;1.25889
108.0;22;Inconnu;0.0
111.0;22;Fluide;0.66333
111.0;22;Fluide;0.57334
78.0;22;Inconnu;0.0
111.0;22;Fluide;0.60389
111.0;22;Inconnu;0.0
78.0;22;Fluide;1.40333
111.0;22;Fluide;0.80334
1055.0;22;Fluide;2.55667
0.0;22;Fluide;10.34889
83.0;22;Fluide;1.73167
58.0;22;Fluide;1.38056
83.0;22;Inconnu;0.0
132.0;22;Fluide;1.505
991.0;22;Fluide;4.03556
168.0;22;Inconnu;0.0
122.0;22;Inconnu;0.0
628.0;22;Fluide;3.62445
0.0;22;Fluide;2.14111
4583.0;22;Pré-saturé;15.2
0.0;22;Pré-saturé;15.85
2464.0;22;Fluide;6.7
3037.0;22;Fluide;9.5
4726.0;22;Pré-saturé;15.65
2832.0;22;Fluide;7.45
0.0;22;Pré-saturé;17.4
4180.0;22;Fluide;14.3
2941.0;22;Fluide;8.2
5666.0;22;Pré-saturé;19.1
147.0;22;Fluide;0.59889
0.0;22;Fluide;0.39
0.0;22;Fluide;3.29278
5274.0;22;Pré-saturé;21.6
221.0;22;Fluide;2.14889
138.0;22;Fluide;1.725
424.0;22;Fluide;1.24167
465.0;22;Fluide;2.455
463.0;22;Fluide;7.89778
483.0;22;Fluide;4.61111
463.0;22;Fluide;8.67555
443.0;22;Pré-saturé;23.96889
490.0;22;Inconnu;0.0
106.0;22;Fluide;3.33889
231.0;22;Fluide;5.49334
106.0;22;Fluide;6.06056
0.0;22;Fluide;1.21556
75.0;22;Fluide;1.55833
0.0;22;Fluide;1.34556
0.0;22;Pré-saturé;28.04778
132.0;22;Fluide;0.605
132.0;22;Fluide;0.51056
0.0;22;Fluide;5.61056
132.0;22;Fluide;0.83445
603.0;22;Fluide;3.455
557.0;22;Fluide;1.84111
0.0;22;Fluide;0.31945
0.0;22;Fluide;4.395
31.0;22;Fluide;0.05
0.0;22;Fluide;3.9
813.0;22;Inconnu;0.0
813.0;22;Fluide;9.84333
0.0;22;Pré-saturé;15.05
0.0;22;Fluide;6.9
75.0;22;Inconnu;0.0
595.0;22;Fluide;1.50278
0.0;22;Fluide;6.1
4.0;22;Fluide;0.2
434.0;22;Inconnu;0.0
0.0;22;Fluide;11.83611
852.0;22;Fluide;4.15
3162.0;22;Fluide;8.0
43.0;22;Fluide;0.1
0.0;22;Fluide;0.0
0.0;22;Bloqué;66.85
0.0;22;Fluide;3.85
0.0;22;Fluide;2.65
0.0;22;Fluide;2.9
273.0;22;Fluide;0.90556
343.0;22;Fluide;3.145
239.0;22;Fluide;1.29945
233.0;22;Fluide;5.01056
305.0;22;Pré-saturé;18.03167
481.0;22;Pré-saturé;15.71278
127.0;22;Fluide;2.25278
162.0;22;Fluide;3.61667
162.0;22;Fluide;4.44222
127.0;22;Inconnu;0.0
0.0;22;Fluide;3.76222
743.0;22;Fluide;8.52833
532.0;22;Fluide;8.52833
0.0;22;Fluide;4.22278
677.0;22;Fluide;12.13167
782.0;22;Fluide;7.38111
0.0;22;Pré-saturé;29.92444
293.0;22;Inconnu;0.0
660.0;22;Fluide;6.56222
293.0;22;Fluide;4.24889
406.0;22;Fluide;5.20945
280.0;22;Fluide;3.41167
610.0;22;Fluide;4.60778
615.0;22;Inconnu;0.0
0.0;22;Fluide;0.49111
293.0;22;Fluide;5.285
0.0;22;Fluide;4.64056
293.0;22;Fluide;6.49556
615.0;22;Fluide;11.115
284.0;22;Inconnu;0.0
744.0;22;Pré-saturé;18.58333
0.0;22;Fluide;0.15
0.0;22;Fluide;1.03722
0.0;22;Fluide;3.65445
609.0;22;Fluide;3.47445
514.0;22;Fluide;0.27
158.0;22;Inconnu;0.0
158.0;22;Fluide;2.71389
0.0;22;Fluide;1.16334
157.0;22;Fluide;1.23
66.0;22;Fluide;2.98222
208.0;22;Fluide;3.37889
139.0;22;Inconnu;0.0
208.0;22;Fluide;2.83222
