iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
1952,Bd_des_Italiens,2024-01-04T16:00:00+00:00,,3.76389,Fluide,2138,Bd_des_Italiens-Chaussee_d'Antin,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3358046883735017,48.871209045347356,Feature,"[[2.334497897316958, 48.87097851013843], [2.3371114794300456, 48.8714395805563]]",LineString,,
1952,Bd_des_Italiens,2024-01-04T15:00:00+00:00,,4.02611,Fluide,2138,Bd_des_Italiens-Chaussee_d'Antin,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3358046883735017,48.871209045347356,Feature,"[[2.334497897316958, 48.87097851013843], [2.3371114794300456, 48.8714395805563]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T23:00:00+00:00,544.0,2.45889,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T22:00:00+00:00,548.0,2.81167,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T19:00:00+00:00,722.0,4.05445,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T18:00:00+00:00,733.0,3.81556,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T17:00:00+00:00,746.0,4.33778,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T16:00:00+00:00,755.0,4.98278,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T15:00:00+00:00,693.0,3.89889,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
4059,Bd_des_Italiens,2024-01-04T14:00:00+00:00,758.0,4.52611,Fluide,3199,Bd_Italiens-Favart,2137,Bd_des_Italiens-Taitbout,Invalide,1996-10-03,2023-01-01,2.3375742056951365,48.87163197838054,Feature,"[[2.3380965315201667, 48.87172514029647], [2.3370518798701063, 48.871538816464614]]",LineString,,
